,HS6,OD,DO,POPIS
0,010121,2017-01-01,2999-12-31,"Plemenní čistokrevní koně, živí"
1,010129,2017-01-01,2999-12-31,"Koně ostatní, živí"
2,010130,2017-01-01,2999-12-31,"Osli, živí"
3,010190,2017-01-01,2999-12-31,Koně ostatní
4,010221,2017-01-01,2999-12-31,"Plemenný čistokrevný skot, živý"
5,010229,2017-01-01,2999-12-31,"Skot ostatní, živý"
6,010231,2017-01-01,2999-12-31,"Plemenní čistokrevní buvoli, živí"
7,010239,2017-01-01,2999-12-31,"Buvoli ostatní, živí"
8,010290,2017-01-01,2999-12-31,Dobytek hovězí ostatní živý
9,010310,2017-01-01,2999-12-31,Dobytek vepřový plemenný čistokrevný živý
10,010391,2017-01-01,2999-12-31,"Dobytek vepřový ostatní živý,do 50kg"
11,010392,2017-01-01,2999-12-31,"Dobytek vepřový ostatní živý,nad 50kg"
12,010410,2017-01-01,2999-12-31,Ovce živé
13,010420,2017-01-01,2999-12-31,Kozy živé
14,010511,2017-01-01,2999-12-31,"Kohouti,slepice domácí živí,do 185g"
15,010512,2017-01-01,2999-12-31,Krocani a krůty
16,010513,2017-01-01,2999-12-31,"Kachny, živé, o hmotnosti <= 185 g"
17,010514,2017-01-01,2999-12-31,"Husy, živé, o hmotnosti <= 185 g"
18,010515,2017-01-01,2999-12-31,"Perličky, živé, o hmotnosti <= 185 g"
19,010594,2017-01-01,2999-12-31,"Kohouti,slepice domácí živí,nad 185g"
20,010599,2017-01-01,2999-12-31,"Kachny,husy,krocani,perličky ap domácí živí"
21,010611,2017-01-01,2999-12-31,Primáti
22,010612,2017-01-01,2999-12-31,"Velryby,delfíni,sviňuchy,kapustňáci,dugungové,tuleni,lvouni,mroži,živí"
23,010613,2017-01-01,2999-12-31,"Velbloudi a jiní velbloudovití, živí"
24,010614,2017-01-01,2999-12-31,"Králíci a zajíci, živí"
25,010619,2017-01-01,2999-12-31,Domácí králíci
26,010620,2017-01-01,2999-12-31,Plazi (včetně hadů a želv)
27,010631,2017-01-01,2999-12-31,Dravci
28,010632,2017-01-01,2999-12-31,"Papouškovití (vč. papoušků, makaů apod)"
29,010633,2017-01-01,2999-12-31,"Pštrosi, emuové, živí"
30,010639,2017-01-01,2999-12-31,Holubi a ostatní ptáci j.n.
31,010641,2017-01-01,2999-12-31,"Včely, živé"
32,010649,2017-01-01,2999-12-31,"Hmyz ostatní, živý"
33,010690,2017-01-01,2999-12-31,Ostatní živá zvířata j.n.
34,020110,2017-01-01,2999-12-31,"Maso hovězí,čerstvé,chlazené,v celku,půlené"
35,020120,2017-01-01,2999-12-31,"Maso hovězí ost,čerstvé,chlazené,nevykostěné"
36,020130,2017-01-01,2999-12-31,"Maso hovězí,čerstvé,chlazené,vykostěné"
37,020210,2017-01-01,2999-12-31,"Maso hovězí zmrazené,v celku,půlené"
38,020220,2017-01-01,2999-12-31,"Maso hovězí ostatní zmrazené,nevykostěné"
39,020230,2017-01-01,2999-12-31,"Maso hovězí zmrazené,vykostěné"
40,020311,2017-01-01,2999-12-31,"Maso vepřové čerstvé,chlazené,v celku,půlené"
41,020312,2017-01-01,2999-12-31,"Šunky,plece vepř.čerstvé,chlazené,nevykostěné"
42,020319,2017-01-01,2999-12-31,"Maso vepřové ostatní čerstvé,chlazené"
43,020321,2017-01-01,2999-12-31,"Maso vepřové zmarazené,v celku,půlené"
44,020322,2017-01-01,2999-12-31,"Šunky,plece vepřové zmrazené,nevykostěné"
45,020329,2017-01-01,2999-12-31,Maso vepřové ostatní zmrazené
46,020410,2017-01-01,2999-12-31,"Jehně čerstvé,chlazené,v celku,půlené"
47,020421,2017-01-01,2999-12-31,"Maso skopové ost.čerstvé,chlaz,v celku,půlené"
48,020422,2017-01-01,2999-12-31,"Maso skopové ost.čerstvé,chlazené,nevykostěné"
49,020423,2017-01-01,2999-12-31,"Maso skopové ost.čerstvé,chlazené,vykostěné"
50,020430,2017-01-01,2999-12-31,"Jehně zmrazené,v celku,půlené"
51,020441,2017-01-01,2999-12-31,"Maso skopové ostatní,zmrazené,v celku,půlené"
52,020442,2017-01-01,2999-12-31,"Maso skopové ostatní,zmrazené,nevykostěné"
53,020443,2017-01-01,2999-12-31,"Maso skopové ostatní,zmrazené,vykostěné"
54,020450,2017-01-01,2999-12-31,Maso kozí
55,020500,2017-01-01,2999-12-31,"Maso koňské,oslí,mezků,mul,čerst,chlaz,zmraz"
56,020610,2017-01-01,2999-12-31,"Droby hovězí jedlé,čerstvé,chlazené"
57,020621,2017-01-01,2999-12-31,Jazyky hovězí zmrazené
58,020622,2017-01-01,2999-12-31,Játra hovězí zmrazená
59,020629,2017-01-01,2999-12-31,"Droby hovězí jedlé ostatní,zmrazené"
60,020630,2017-01-01,2999-12-31,"Droby vepřové jedlé,čerstvé,chlazené"
61,020641,2017-01-01,2999-12-31,Játra vepřová zmrazená
62,020649,2017-01-01,2999-12-31,"Droby vepřové jedlé ostatní,zmrazené"
63,020680,2017-01-01,2999-12-31,"Droby skopové,kozí,koňské ap jedlé čerst,chl"
64,020690,2017-01-01,2999-12-31,"Droby skopové,kozí,koňské ap jedlé zmrazené"
65,020711,2017-01-01,2999-12-31,"Maso ze slepic nedělené, čerstvé n. chlazené"
66,020712,2017-01-01,2999-12-31,"Maso ze slepic nedělené, zmrazené"
67,020713,2017-01-01,2999-12-31,"Dělené maso a droby ze slepic, čerstvé n.chl."
68,020714,2017-01-01,2999-12-31,"Dělené maso a droby ze slepic, zmrazené"
