"HS_ID","Skupina","Podskupina","Kategorie výrobku","Zdroj","Included","CAGR_2022_30_ANALYSIS","IS_REALCAGR","CAGR_2022_30_FORECAST","CZ_Nazev","ENG_Nazev","Upravováno na novou HS22 terminologii","Odkud","Nově vloženo","Proč, odkud","IMF","","","","","","","","","",""
"871420","A02. Doprava","A02e. Cyklistika a jednostopá ","Díly a vybavení","LSE Navigator","IN","","N","0.0400","Části křesel pojízdných ap vozíků invalidních","Carriages for disabled persons: parts and accessories thereof","","","","","0","","","","","","","","","",""
"560312","B02. Cirkularita a odpady","B02b. Cirkularita, využití odpadu","Materiálové využití","LSE Navigator","IN","","N","0.0400","Textilie z chemic.vláken o hmot. 25-70g/m2","Nonwovens: whether or not impregnated, coated, covered or laminated, of man-made filaments, (weighing more than 25g/m2 but not more than 70g/m2)","Ano. Nonwovens jsme měli už před tím, ale podle nové taxonomie 2022 se rozpadly na mnohem víc řádků - podle gramáže, máme je tam přidat všechny? Nebo žádné???","","","","0","","","","","","","","","",""
"560790","","","","LSE Navigator","OUT","","N","0.0400","Provazy,lana,sňůry,motouzy ostatní","Twine, cordage, ropes, cables: of materials n.e.c. in heading no. 5607, whether or not plaited, braided or impregnated, coated, covered, or sheathed with rubber or plastics","","","","","0","","","","","","","","","",""
"441830","","","","LSE Navigator","OUT","","N","0.0400","Sloupy a trámy ze dřeva (kromě<br>výrobků položek 4418 81 až 4418<br>89)","wood: posts and beams other than products of subheadings 4418.81 to 4418.89","","","","","0","","","","","","","","","",""
"630510","","","","LSE Navigator","OUT","","N","0.0400","Pytle,pytlíky k balení zboží z juty<br>aj vl.lýk","Sacks and bags: of a kind used for the packing of goods, of jute or of other textile bast fibres of heading no. 5303","","","","","0","","","","","","","","","",""
"530599","","","","LSE Navigator","OUT","","N","0.0400","#N/A","#N/A","","","","","","","","","","","","","","",""
"530310","","","","LSE Navigator","OUT","","N","0.0400","Juta aj vlákna lýk.text,surová,máčená,nespřed","Jute and other textile bast fibres: raw or retted, but not spun, (excluding flax, hemp (cannabis sativa L.), and ramie)","","","","","0","","","","","","","","","",""
"840211","A04. Výroba nízkoemisní elektřiny a paliv","A04f. Jádro","Komponenty pro jadernou energetiku","""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products","IN","","N","0.0400","Kotle vodotrubné,nad 45t páry/hod.","Boilers: watertube boilers with a steam production exceeding 45t per hour","","","","","0","","","","","","","","","",""
"840212","A04. Výroba nízkoemisní elektřiny a paliv","A04f. Jádro","Komponenty pro jadernou energetiku","""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products","IN","","N","0.0400","Kotle vodotrubné,do 45t páry/hod.","Boilers: watertube boilers with a steam production not exceeding 45t per hour","","","","","0","","","","","","","","","",""
"841410","A05. Ukládání energie","A05b. Vodik a čpavek","Vodík (elektrolyzéry)","LSE Navigator","IN","","N","0.0400","Vývěvy","Pumps: vacuum","","","","","0","","","","","","","","","",""
"850433","A06. Energetické sítě","A06a. Distribuce a přenos elektřiny","Transformační stanice a další síťové komponenty","LSE Navigator","IN","0.0580","Y","0.0580","Transformátory 16-500kVA,bez kapal.dielektr.","Transformers: n.e.c. in item no. 8504.2, having a power handling capacity exceeding 16kVA but not exceeding 500kVA","","","","","0","","","","","","","","","",""
"850432","A06. Energetické sítě","A06a. Distribuce a přenos elektřiny","Transformační stanice a další síťové komponenty","LSE Navigator","IN","0.0580","Y","0.0580","Transformátory 1-16kVA,bez kapal.dielektrika","Transformers: n.e.c. in item no. 8504.2, having a power handling capacity exceeding 1kVA but not exceeding 16kVA","","","","","0","","","","","","","","","",""
"850434","A06. Energetické sítě","A06a. Distribuce a přenos elektřiny","Transformační stanice a další síťové komponenty","LSE Navigator","IN","0.0580","Y","0.0580","Transformátory nad 500kVA,bez kapal.dielektr.","Transformers: n.e.c. in item no. 8504.2, having a power handling capacity exceeding 500kVA","","","","","0","","","","","","","","","",""
"850431","A06. Energetické sítě","A06a. Distribuce a přenos elektřiny","Transformační stanice a další síťové komponenty","LSE Navigator","IN","0.0580","Y","0.0580","Transformátory do 1kVA,bez kapal.dielektrika","Electrical transformers: n.e.c. in item no. 8504.2, having a power handling capacity not exceeding 1kVA","","","","","0","","","","","","","","","",""
"730820","A04. Výroba nízkoemisní elektřiny a paliv","A04a. Větrná","Komponenty pro větrnou energetiku","LSE Navigator","IN","0.0840","Y","0.0840","Věže,stožáry,sloupy,pilíře z železa,oceli","Iron or steel: structures and parts thereof, towers and lattice masts","","","","","1","","","","","","","","","",""
"903210","E01. Měřící a diagnostické přístroje; Monitoring","E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)","Termostaty","LSE Navigator","IN","","N","0.0400","Termostaty","Regulating or controlling instruments and apparatus: automatic type, thermostats","","","","","1","","","","","","","","","",""
"902511","E01. Měřící a diagnostické přístroje; Monitoring","E01c. Měření okolního prostředí (HS9025)","Termometry","LSE Navigator","IN","","N","0.0400","Teploměry,nekombinov,kapalinové,přímé čtení","Thermometers and pyrometers: liquid filled, for direct reading, not combined with other instruments","","","","","0","","","","","","","","","",""
"902519","E01. Měřící a diagnostické přístroje; Monitoring","E01c. Měření okolního prostředí (HS9025)","Termometry","LSE Navigator","IN","","N","0.0400","Teploměry,nekombinované,ostatní","Thermometers and pyrometers: (other than liquid filled, for direct reading), not combined with other instruments","","","","","0","","","","","","","","","",""
"903120","E01. Měřící a diagnostické přístroje; Monitoring","E01i. Ostatní","Ostatní","LSE Navigator","IN","","N","0.0400","Zařízení zkušební","Test benches","","","","","0","","","","","","","","","",""
"860610","A02. Doprava","A02a. Železniční (osobní i nákladní)","Nové lokomotivy a vozy","LSE Navigator","IN","0.0500","Y","0.0500","Vagóny cisternové ap,bez pohonu","Railway or tramway goods vans and wagons: tank wagons and the like, not self-propelled","","","","","0","","","","","","","","","",""
